,瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 捞浇痢柯档(∑C),弥家 惑措嚼档(%),乞闭 惑措嚼档(%),乞闭 刘扁拘(hPa),乞闭 泅瘤扁拘(hPa),弥绊 秦搁扁拘(hPa),弥历 秦搁扁拘(hPa),乞闭 秦搁扁拘(hPa),啊炼矫埃(hr),钦拌 老炼 矫埃(hr),钦拌 老荤(MJ/m2),老 弥缴脚利汲(cm),老 弥缴利汲(cm),乞闭 傈款樊(1/10),乞闭 吝窍摸款樊(1/10),乞闭 瘤搁柯档(∑C),弥历 檬惑柯档(∑C),A
140,156,堡林,2010-12-10,6.3,-2.8,13,0,-0.8,42,61.8,6.1,1004.9,1020.1,1009.6,1014.1,9.8,5.4,9.06,0,0,4.6,4,4.4,-6.4,0
141,156,堡林,2010-12-10,6.3,-2.8,13,0,-0.8,42,61.8,6.1,1004.9,1020.1,1009.6,1014.1,9.8,5.4,9.06,0,0,4.6,4,4.4,-6.4,0
142,156,堡林,2010-12-11,2.6,-3,9.9,0,-6.6,37,50.8,3.9,1011.9,1026.1,1012.9,1021.3,9.8,5.9,8.78,0,0,3.5,3.4,4.4,-7.4,0
143,156,堡林,2010-12-11,2.6,-3,9.9,0,-6.6,37,50.8,3.9,1011.9,1026.1,1012.9,1021.3,9.8,5.9,8.78,0,0,3.5,3.4,4.4,-7.4,0
144,156,堡林,2010-12-12,1,-4.4,4.9,0,-13.1,22,35.4,2.3,1014.5,1026.7,1021,1023.9,9.8,0,4.65,0,0,7.1,3,0.9,-8.3,1
145,156,堡林,2010-12-12,1,-4.4,4.9,0,-13.1,22,35.4,2.3,1014.5,1026.7,1021,1023.9,9.8,0,4.65,0,0,7.1,3,0.9,-8.3,1
146,156,堡林,2010-12-13,5.4,3.5,7.3,11,4.2,47,92.6,8.3,1006.3,1021.1,1012.6,1015.5,9.8,0,2.01,0,0,9.6,5.3,5.4,1.5,0
147,156,堡林,2010-12-13,5.4,3.5,7.3,11,4.2,47,92.6,8.3,1006.3,1021.1,1012.6,1015.5,9.8,0,2.01,0,0,9.6,5.3,5.4,1.5,0
148,156,堡林,2010-12-14,1.6,-2.8,5.4,0,-4.9,32,64.1,4.5,1013.6,1027.2,1017,1023,9.8,5,8.8,0,0,6.1,5.4,3.3,-3.4,0
149,156,堡林,2010-12-14,1.6,-2.8,5.4,0,-4.9,32,64.1,4.5,1013.6,1027.2,1017,1023,9.8,5,8.8,0,0,6.1,5.4,3.3,-3.4,0
150,156,堡林,2010-12-15,-4.3,-7.1,-0.4,0,-12.2,38,55,2.4,1015.3,1027.3,1022.7,1024.9,9.8,8.1,10.94,0,0,4.1,3.5,0.7,-7.4,0
151,156,堡林,2010-12-15,-4.3,-7.1,-0.4,0,-12.2,38,55,2.4,1015.3,1027.3,1022.7,1024.9,9.8,8.1,10.94,0,0,4.1,3.5,0.7,-7.4,0
152,156,堡林,2010-12-16,-2.8,-7.7,2.1,0,-9.9,42,58.9,3,1010.5,1024.4,1018,1020,9.8,9,11.25,0,0,3.4,3.4,0.3,-8.9,0
153,156,堡林,2010-12-16,-2.8,-7.7,2.1,0,-9.9,42,58.9,3,1010.5,1024.4,1018,1020,9.8,9,11.25,0,0,3.4,3.4,0.3,-8.9,0
154,156,堡林,2010-12-17,2.2,-1.2,6.7,0,-3.5,52,66.4,4.8,1007.6,1020.1,1014.6,1016.9,9.8,1,4.97,0,0,5.9,5.3,1.5,-3.8,0
155,156,堡林,2010-12-17,2.2,-1.2,6.7,0,-3.5,52,66.4,4.8,1007.6,1020.1,1014.6,1016.9,9.8,1,4.97,0,0,5.9,5.3,1.5,-3.8,0
156,156,堡林,2010-12-18,3.5,-1.3,9.4,0,-3.2,35,63.8,4.8,1013.4,1025,1020.1,1022.7,9.8,8.5,10.08,0,0,1,0.4,3,-5.7,0
157,156,堡林,2010-12-18,3.5,-1.3,9.4,0,-3.2,35,63.8,4.8,1013.4,1025,1020.1,1022.7,9.8,8.5,10.08,0,0,1,0.4,3,-5.7,0
158,156,堡林,2010-12-19,8.8,2.7,15.3,0,2.3,46,64.9,7.4,1010.5,1023.1,1016.6,1019.6,9.8,3.4,7.18,0,0,6.3,5.5,5.6,-0.8,0
159,156,堡林,2010-12-19,8.8,2.7,15.3,0,2.3,46,64.9,7.4,1010.5,1023.1,1016.6,1019.6,9.8,3.4,7.18,0,0,6.3,5.5,5.6,-0.8,0
160,156,堡林,2010-12-20,6.8,2.6,13.2,0,-1.3,25,60.6,5.7,1009.4,1020.3,1017.2,1018.6,9.8,8.6,10.21,0,0,0.3,0.3,5.1,-3,0
161,156,堡林,2010-12-20,6.8,2.6,13.2,0,-1.3,25,60.6,5.7,1009.4,1020.3,1017.2,1018.6,9.8,8.6,10.21,0,0,0.3,0.3,5.1,-3,0
162,156,堡林,2010-12-21,5.5,-0.4,13,0,-0.7,41,65.9,5.8,1004.3,1017.6,1010.4,1013.5,9.8,6.3,8.45,0,0,2.4,0.5,4.1,-5,0
163,156,堡林,2010-12-21,5.5,-0.4,13,0,-0.7,41,65.9,5.8,1004.3,1017.6,1010.4,1013.5,9.8,6.3,8.45,0,0,2.4,0.5,4.1,-5,0
164,156,堡林,2010-12-22,4.1,-0.2,10.8,0,-1.7,41,68.1,5.4,1007.6,1020.3,1013.5,1016.8,9.8,7.9,9.51,0,0,0,0,3.4,-5.2,0
165,156,堡林,2010-12-22,4.1,-0.2,10.8,0,-1.7,41,68.1,5.4,1007.6,1020.3,1013.5,1016.8,9.8,7.9,9.51,0,0,0,0,3.4,-5.2,0
166,156,堡林,2010-12-23,2.4,-1.5,7.2,0,-4.9,33,60.1,4.4,1013.9,1027.2,1020,1023.3,9.8,2.8,5.81,0,0,2.9,2.9,2.3,-4,0
167,156,堡林,2010-12-23,2.4,-1.5,7.2,0,-4.9,33,60.1,4.4,1013.9,1027.2,1020,1023.3,9.8,2.8,5.81,0,0,2.9,2.9,2.3,-4,0
168,156,堡林,2010-12-24,-5.2,-8,-1.5,0,-14,23,51.5,2.1,1017.8,1029.7,1025.9,1027.4,9.8,7.6,11.1,0,0,5,5,0.7,-8.8,1
169,156,堡林,2010-12-24,-5.2,-8,-1.5,0,-14,23,51.5,2.1,1017.8,1029.7,1025.9,1027.4,9.8,7.6,11.1,0,0,5,5,0.7,-8.8,1
170,156,堡林,2010-12-25,-5.4,-9.3,-1,0.3,-11.3,42,64.1,2.7,1012.3,1026.1,1018,1022,9.8,7.4,9.95,1.5,1.5,4.1,4.1,-0.8,-9.9,1
171,156,堡林,2010-12-25,-5.4,-9.3,-1,0.3,-11.3,42,64.1,2.7,1012.3,1026.1,1018,1022,9.8,7.4,9.95,1.5,1.5,4.1,4.1,-0.8,-9.9,1
172,156,堡林,2010-12-26,-2.9,-6.4,-0.8,2.6,-6.4,52,77.4,3.8,1005.1,1018,1012.2,1014.6,9.8,3,6.75,5.2,5.2,7.4,7.4,1,-7.6,1
173,156,堡林,2010-12-26,-2.9,-6.4,-0.8,2.6,-6.4,52,77.4,3.8,1005.1,1018,1012.2,1014.6,9.8,3,6.75,5.2,5.2,7.4,7.4,1,-7.6,1
174,156,堡林,2010-12-27,2,-1.4,6.1,0.1,-5.4,38,59.1,4.1,1005.3,1016.1,1013.4,1014.6,9.8,5,8.62,0.1,5.3,4,4,2.3,-4.2,1
175,156,堡林,2010-12-27,2,-1.4,6.1,0.1,-5.4,38,59.1,4.1,1005.3,1016.1,1013.4,1014.6,9.8,5,8.62,0.1,5.3,4,4,2.3,-4.2,1
176,156,堡林,2010-12-28,1.8,-0.8,5.7,2,-3,41,71.6,5,1003.4,1019.2,1008.2,1012.7,9.8,2.4,5.37,0,0,8.3,7.3,1.9,-2.7,1
177,156,堡林,2010-12-28,1.8,-0.8,5.7,2,-3,41,71.6,5,1003.4,1019.2,1008.2,1012.7,9.8,2.4,5.37,0,0,8.3,7.3,1.9,-2.7,1
178,156,堡林,2010-12-29,0.3,-1.4,3.3,1.2,-5,48,68.6,4.3,1010.5,1022.3,1017.2,1019.9,9.8,6.4,9.46,2.4,2.4,5.8,5.4,2.3,-4.4,1
179,156,堡林,2010-12-29,0.3,-1.4,3.3,1.2,-5,48,68.6,4.3,1010.5,1022.3,1017.2,1019.9,9.8,6.4,9.46,2.4,2.4,5.8,5.4,2.3,-4.4,1
180,156,堡林,2010-12-30,-2,-3.9,1.1,13.5,-3.1,64,92,4.9,1003.9,1017.2,1010.9,1013.3,9.8,1,2.78,21.3,21.3,9.1,8.4,0.6,-2.6,1
181,156,堡林,2010-12-30,-2,-3.9,1.1,13.5,-3.1,64,92,4.9,1003.9,1017.2,1010.9,1013.3,9.8,1,2.78,21.3,21.3,9.1,8.4,0.6,-2.6,1
182,156,堡林,2010-12-31,-4.7,-6.7,-1.9,4.7,-7.6,62,80.4,3.5,1006.2,1018.2,1012.9,1015.8,9.8,2.2,3.66,11.4,29.2,6.9,6.9,0.5,-10.7,0
183,156,堡林,2010-12-31,-4.7,-6.7,-1.9,4.7,-7.6,62,80.4,3.5,1006.2,1018.2,1012.9,1015.8,9.8,2.2,3.66,11.4,29.2,6.9,6.9,0.5,-10.7,0
184,156,堡林,2011-01-01,-4.4,-8.2,0.9,0,-9.3,43,69.8,3,1013.4,1028.3,1017.8,1023,9.8,8.1,12.18,0,23.7,3.4,3.4,0.4,-12.6,0
185,156,堡林,2011-01-01,-4.4,-8.2,0.9,0,-9.3,43,69.8,3,1013.4,1028.3,1017.8,1023,9.8,8.1,12.18,0,23.7,3.4,3.4,0.4,-12.6,0
186,156,堡林,2011-01-02,-3.8,-9,2,0,-8.4,43,71.8,3.3,1018,1030,1025.5,1027.6,9.9,8.9,13.11,0,14.5,0.1,0.1,0.3,-14.2,0
187,156,堡林,2011-01-02,-3.8,-9,2,0,-8.4,43,71.8,3.3,1018,1030,1025.5,1027.6,9.9,8.9,13.11,0,14.5,0.1,0.1,0.3,-14.2,0
188,156,堡林,2011-01-03,-2.5,-5.6,1.4,0,-9.1,42,61.4,3.1,1013.9,1025.5,1021.4,1023.5,9.9,7.1,11.31,0,12,5.6,3.3,-0.3,-10.2,0
189,156,堡林,2011-01-03,-2.5,-5.6,1.4,0,-9.1,42,61.4,3.1,1013.9,1025.5,1021.4,1023.5,9.9,7.1,11.31,0,12,5.6,3.3,-0.3,-10.2,0
190,156,堡林,2011-01-04,-1.7,-7.8,1.5,0,-6,59,72.8,4,1013.9,1024.6,1022.7,1023.4,9.9,2.2,6.95,0,10,6.3,6.3,-0.2,-10,1
191,156,堡林,2011-01-04,-1.7,-7.8,1.5,0,-6,59,72.8,4,1013.9,1024.6,1022.7,1023.4,9.9,2.2,6.95,0,10,6.3,6.3,-0.2,-10,1
192,156,堡林,2011-01-05,0.7,-1.5,3.3,0.1,-5.1,48,65.6,4.2,1013.8,1025.1,1021.8,1023.2,9.9,2.9,7.68,0.3,8.8,8,8,0.1,-1.9,1
193,156,堡林,2011-01-05,0.7,-1.5,3.3,0.1,-5.1,48,65.6,4.2,1013.8,1025.1,1021.8,1023.2,9.9,2.9,7.68,0.3,8.8,8,8,0.1,-1.9,1
194,156,堡林,2011-01-06,-2.3,-4.1,-0.8,0.8,-6.8,54,71,3.7,1017.1,1029.3,1023.7,1026.7,9.9,3.4,7.5,2.5,10.2,6.6,6.6,0.2,-6.1,0
195,156,堡林,2011-01-06,-2.3,-4.1,-0.8,0.8,-6.8,54,71,3.7,1017.1,1029.3,1023.7,1026.7,9.9,3.4,7.5,2.5,10.2,6.6,6.6,0.2,-6.1,0
196,156,堡林,2011-01-07,-3.7,-7.5,0.4,0,-11.2,26,57.3,2.6,1019.9,1031.5,1027.5,1029.5,9.9,8.9,12.55,0,7,1.1,0.8,0.4,-10.3,0
197,156,堡林,2011-01-07,-3.7,-7.5,0.4,0,-11.2,26,57.3,2.6,1019.9,1031.5,1027.5,1029.5,9.9,8.9,12.55,0,7,1.1,0.8,0.4,-10.3,0
198,156,堡林,2011-01-08,-1.5,-7.8,4.2,0,-7.2,49,66,3.6,1017.1,1029.5,1024,1026.7,9.9,6.6,10.79,0,6.5,3.8,3.8,-0.2,-10.5,1
199,156,堡林,2011-01-08,-1.5,-7.8,4.2,0,-7.2,49,66,3.6,1017.1,1029.5,1024,1026.7,9.9,6.6,10.79,0,6.5,3.8,3.8,-0.2,-10.5,1
200,156,堡林,2011-01-09,-1.7,-5.4,1.2,0.1,-8.5,44,60.4,3.3,1016.8,1029.4,1023.1,1026.3,9.9,4.7,9.74,0.2,5.5,6.1,6.1,0.2,-7.7,0
201,156,堡林,2011-01-09,-1.7,-5.4,1.2,0.1,-8.5,44,60.4,3.3,1016.8,1029.4,1023.1,1026.3,9.9,4.7,9.74,0.2,5.5,6.1,6.1,0.2,-7.7,0
202,156,堡林,2011-01-10,-5.2,-8.7,-1,0,-14.4,31,49.6,2,1017.2,1029.9,1024.5,1026.9,10,9.2,12.71,0,5,1.4,1.1,-0.7,-11.3,1
203,156,堡林,2011-01-10,-5.2,-8.7,-1,0,-14.4,31,49.6,2,1017.2,1029.9,1024.5,1026.9,10,9.2,12.71,0,5,1.4,1.1,-0.7,-11.3,1
204,156,堡林,2011-01-11,-2.6,-7.3,1.7,0.3,-10.5,34,56.3,3,1010.3,1024.8,1017.4,1019.8,10,5.1,9.1,0.6,4.5,7,6.4,-0.8,-10,1
205,156,堡林,2011-01-11,-2.6,-7.3,1.7,0.3,-10.5,34,56.3,3,1010.3,1024.8,1017.4,1019.8,10,5.1,9.1,0.6,4.5,7,6.4,-0.8,-10,1
206,156,堡林,2011-01-12,-3.3,-5.9,-0.7,1,-11.6,33,54.1,2.6,1014.1,1026.8,1018.6,1023.7,10,8.6,13.34,3.5,8,2.5,2.5,0,-8.7,0
207,156,堡林,2011-01-12,-3.3,-5.9,-0.7,1,-11.6,33,54.1,2.6,1014.1,1026.8,1018.6,1023.7,10,8.6,13.34,3.5,8,2.5,2.5,0,-8.7,0
208,156,堡林,2011-01-13,-3,-8.4,2.6,0,-11.4,38,53,2.6,1017.5,1029,1025.3,1027.1,10,9.2,11.75,0,4,1.9,0.9,-0.5,-10,0
209,156,堡林,2011-01-13,-3,-8.4,2.6,0,-11.4,38,53,2.6,1017.5,1029,1025.3,1027.1,10,9.2,11.75,0,4,1.9,0.9,-0.5,-10,0
210,156,堡林,2011-01-14,-1.2,-7.1,4.2,0,-9,32,56.4,3.1,1017.8,1029.3,1025,1027.3,10,5.3,9.7,0,3,3.8,0.6,-0.7,-9.9,1
211,156,堡林,2011-01-14,-1.2,-7.1,4.2,0,-9,32,56.4,3.1,1017.8,1029.3,1025,1027.3,10,5.3,9.7,0,3,3.8,0.6,-0.7,-9.9,1
212,156,堡林,2011-01-15,-5.8,-10.7,-0.4,1.4,-13.1,34,57.6,2.3,1017.6,1028.9,1025.2,1027.3,10,5.9,10.65,2.1,4,6.4,6,-0.4,-11.7,0
213,156,堡林,2011-01-15,-5.8,-10.7,-0.4,1.4,-13.1,34,57.6,2.3,1017.6,1028.9,1025.2,1027.3,10,5.9,10.65,2.1,4,6.4,6,-0.4,-11.7,0
214,156,堡林,2011-01-16,-7.7,-11.7,-4.4,0,-13,55,65.6,2.3,1018.9,1030.8,1027.2,1028.6,10.1,5.1,10.04,0,4,5.8,5.8,-0.7,-12.9,0
215,156,堡林,2011-01-16,-7.7,-11.7,-4.4,0,-13,55,65.6,2.3,1018.9,1030.8,1027.2,1028.6,10.1,5.1,10.04,0,4,5.8,5.8,-0.7,-12.9,0
216,156,堡林,2011-01-17,-4.6,-8.6,-0.3,0,-11.4,33,60.1,2.6,1022,1033.5,1030.3,1031.7,10.1,9.1,13.11,0,3.5,2.3,2.3,-0.7,-10.7,0
217,156,堡林,2011-01-17,-4.6,-8.6,-0.3,0,-11.4,33,60.1,2.6,1022,1033.5,1030.3,1031.7,10.1,9.1,13.11,0,3.5,2.3,2.3,-0.7,-10.7,0
218,156,堡林,2011-01-18,-3.6,-7.4,-0.5,0,-7.7,55,73,3.5,1020.6,1032.3,1028.6,1030.2,10.1,0.5,6,0.1,3.1,6.4,3.9,-0.7,-8.8,0
219,156,堡林,2011-01-18,-3.6,-7.4,-0.5,0,-7.7,55,73,3.5,1020.6,1032.3,1028.6,1030.2,10.1,0.5,6,0.1,3.1,6.4,3.9,-0.7,-8.8,0
220,156,堡林,2011-01-19,-2.3,-4.9,1.6,0,-7.3,45,70.3,3.6,1019.2,1030.1,1027,1028.7,10.1,7.5,11.6,0,2.5,5.1,4.4,-0.5,-8.1,0
221,156,堡林,2011-01-19,-2.3,-4.9,1.6,0,-7.3,45,70.3,3.6,1019.2,1030.1,1027,1028.7,10.1,7.5,11.6,0,2.5,5.1,4.4,-0.5,-8.1,0
222,156,堡林,2011-01-20,-3.7,-5.3,-1.1,0,-9.2,43,66.6,3.1,1017.6,1028.5,1025.7,1027.2,10.2,3.2,8.82,0.2,2.3,7.1,3.6,-0.5,-7.3,0
223,156,堡林,2011-01-20,-3.7,-5.3,-1.1,0,-9.2,43,66.6,3.1,1017.6,1028.5,1025.7,1027.2,10.2,3.2,8.82,0.2,2.3,7.1,3.6,-0.5,-7.3,0
224,156,堡林,2011-01-21,-3.8,-6.9,0.7,0,-11.1,41,57.4,2.6,1017.2,1029.7,1024.9,1026.9,10.2,8.3,11.54,0,1.5,3.1,0,-0.6,-8.4,0
225,156,堡林,2011-01-21,-3.8,-6.9,0.7,0,-11.1,41,57.4,2.6,1017.2,1029.7,1024.9,1026.9,10.2,8.3,11.54,0,1.5,3.1,0,-0.6,-8.4,0
226,156,堡林,2011-01-22,-2.7,-8.4,3.6,0,-9.6,45,59.3,3,1018.8,1030,1027.1,1028.4,10.2,7.7,10.79,0,1,2.3,1.3,-1.2,-9.8,1
227,156,堡林,2011-01-22,-2.7,-8.4,3.6,0,-9.6,45,59.3,3,1018.8,1030,1027.1,1028.4,10.2,7.7,10.79,0,1,2.3,1.3,-1.2,-9.8,1
228,156,堡林,2011-01-23,-1.1,-3.5,2.5,0.6,-7.6,36,63.3,3.6,1017.1,1029.5,1024.3,1026.7,10.2,0,3.97,1,1.3,9,3.4,-0.6,-5.1,1
229,156,堡林,2011-01-23,-1.1,-3.5,2.5,0.6,-7.6,36,63.3,3.6,1017.1,1029.5,1024.3,1026.7,10.2,0,3.97,1,1.3,9,3.4,-0.6,-5.1,1
230,156,堡林,2011-01-24,-3.4,-5.6,-1.2,1.5,-7,62,76.3,3.6,1018.4,1030.2,1026.2,1028,10.3,3,8.53,4.2,5.5,6.8,6.8,0,-6.9,0
231,156,堡林,2011-01-24,-3.4,-5.6,-1.2,1.5,-7,62,76.3,3.6,1018.4,1030.2,1026.2,1028,10.3,3,8.53,4.2,5.5,6.8,6.8,0,-6.9,0
232,156,堡林,2011-01-25,-3.5,-6.4,0.7,0,-9.7,49,62.5,3,1022.3,1033.7,1030.1,1032,10.3,6.8,11.79,0,1.1,5.4,5.4,-0.6,-8.2,0
233,156,堡林,2011-01-25,-3.5,-6.4,0.7,0,-9.7,49,62.5,3,1022.3,1033.7,1030.1,1032,10.3,6.8,11.79,0,1.1,5.4,5.4,-0.6,-8.2,0
234,156,堡林,2011-01-26,-4.2,-7.6,0.1,0,-10.1,43,64.5,2.8,1026.1,1037.4,1033.1,1035.8,10.3,8.4,12.74,0,0.5,1.9,1.9,-2.1,-9.3,0
235,156,堡林,2011-01-26,-4.2,-7.6,0.1,0,-10.1,43,64.5,2.8,1026.1,1037.4,1033.1,1035.8,10.3,8.4,12.74,0,0.5,1.9,1.9,-2.1,-9.3,0
236,156,堡林,2011-01-27,-3.7,-6.6,0.3,0,-13.7,26,47.4,2.2,1027.9,1039.7,1036,1037.6,10.3,8,12.31,0,0,4.3,1.3,-0.9,-6.9,0
237,156,堡林,2011-01-27,-3.7,-6.6,0.3,0,-13.7,26,47.4,2.2,1027.9,1039.7,1036,1037.6,10.3,8,12.31,0,0,4.3,1.3,-0.9,-6.9,0
238,156,堡林,2011-01-28,-4,-6.8,0.5,0,-14.7,23,44.1,2,1023.4,1036.7,1030.5,1033.1,10.4,8,12.18,0,0,6.1,0,-0.6,-7.7,1
239,156,堡林,2011-01-28,-4,-6.8,0.5,0,-14.7,23,44.1,2,1023.4,1036.7,1030.5,1033.1,10.4,8,12.18,0,0,6.1,0,-0.6,-7.7,1
240,156,堡林,2011-01-29,-5.5,-7.8,-1.6,0.8,-12.6,38,58.1,2.4,1020.5,1031.8,1029,1030.2,10.4,6.8,9.38,2.5,2.5,4.9,3.4,-2.3,-10.2,1
241,156,堡林,2011-01-29,-5.5,-7.8,-1.6,0.8,-12.6,38,58.1,2.4,1020.5,1031.8,1029,1030.2,10.4,6.8,9.38,2.5,2.5,4.9,3.4,-2.3,-10.2,1
242,156,堡林,2011-01-30,-6.1,-9.9,-2,0.8,-10.9,43,70.4,2.7,1020.8,1033,1028.9,1030.6,10.4,7.3,13.4,1.7,1.7,4.5,4.1,-0.3,-13.6,0
243,156,堡林,2011-01-30,-6.1,-9.9,-2,0.8,-10.9,43,70.4,2.7,1020.8,1033,1028.9,1030.6,10.4,7.3,13.4,1.7,1.7,4.5,4.1,-0.3,-13.6,0
244,156,堡林,2011-01-31,-4,-9.5,1.5,0,-9.1,32,70,3.1,1019.9,1031.8,1028,1029.6,10.4,9.1,13.22,0,1.2,1.9,1.9,0.3,-12.7,0
245,156,堡林,2011-01-31,-4,-9.5,1.5,0,-9.1,32,70,3.1,1019.9,1031.8,1028,1029.6,10.4,9.1,13.22,0,1.2,1.9,1.9,0.3,-12.7,0
246,156,堡林,2011-02-01,-0.3,-7.5,6.3,0,-5.5,43,70,4.1,1016.7,1028.6,1024.2,1026.2,10.5,6.4,11.65,0,0,4,0,0.4,-9.1,0
247,156,堡林,2011-02-01,-0.3,-7.5,6.3,0,-5.5,43,70,4.1,1016.7,1028.6,1024.2,1026.2,10.5,6.4,11.65,0,0,4,0,0.4,-9.1,0
248,156,堡林,2011-02-02,2.2,-2.1,8.6,0,-4.6,29,65,4.4,1015.1,1025.9,1022.8,1024.5,10.5,8.4,12.11,0,0,2.4,0.6,2.3,-4.8,0
249,156,堡林,2011-02-02,2.2,-2.1,8.6,0,-4.6,29,65,4.4,1015.1,1025.9,1022.8,1024.5,10.5,8.4,12.11,0,0,2.4,0.6,2.3,-4.8,0
250,156,堡林,2011-02-03,1.7,-3.8,8.9,0,-3.7,39,69.4,4.6,1014.1,1025.8,1021.2,1023.5,10.5,8.4,12.43,0,0,0,0,2,-7.5,0
251,156,堡林,2011-02-03,1.7,-3.8,8.9,0,-3.7,39,69.4,4.6,1014.1,1025.8,1021.2,1023.5,10.5,8.4,12.43,0,0,0,0,2,-7.5,0
252,156,堡林,2011-02-04,3.6,-1,10.4,0,-4.8,22,58.5,4.4,1012.2,1023.2,1019.4,1021.5,10.6,7.7,12.44,0,0,0.9,0,3.2,-3.9,0
253,156,堡林,2011-02-04,3.6,-1,10.4,0,-4.8,22,58.5,4.4,1012.2,1023.2,1019.4,1021.5,10.6,7.7,12.44,0,0,0.9,0,3.2,-3.9,0
254,156,堡林,2011-02-05,2.4,-2.8,10.2,0,-5.2,27,60.6,4.2,1012.5,1024.6,1020,1021.9,10.6,9.1,13.99,0,0,0.6,0,3.3,-5.5,0
255,156,堡林,2011-02-05,2.4,-2.8,10.2,0,-5.2,27,60.6,4.2,1012.5,1024.6,1020,1021.9,10.6,9.1,13.99,0,0,0.6,0,3.3,-5.5,0
256,156,堡林,2011-02-06,3.7,-1.6,10.3,0,-1.3,42,71.4,5.7,1008.8,1020.9,1015.5,1018,10.6,5.5,9.47,0,0,4.3,1.8,3.1,-4.6,0
257,156,堡林,2011-02-06,3.7,-1.6,10.3,0,-1.3,42,71.4,5.7,1008.8,1020.9,1015.5,1018,10.6,5.5,9.47,0,0,4.3,1.8,3.1,-4.6,0
258,156,堡林,2011-02-07,4.5,-0.3,9.6,0,-3.6,29,59.5,4.8,1008.3,1021.2,1013.5,1017.5,10.7,4.8,11.21,0,0,5.3,0.4,3.4,-5.1,1
259,156,堡林,2011-02-07,4.5,-0.3,9.6,0,-3.6,29,59.5,4.8,1008.3,1021.2,1013.5,1017.5,10.7,4.8,11.21,0,0,5.3,0.4,3.4,-5.1,1
260,156,堡林,2011-02-08,4,2,5.7,1,1,52,81.8,6.7,1001.5,1013.9,1007.1,1010.7,10.7,0,1.56,0,0,8.6,5.9,3.2,-1.8,0
261,156,堡林,2011-02-08,4,2,5.7,1,1,52,81.8,6.7,1001.5,1013.9,1007.1,1010.7,10.7,0,1.56,0,0,8.6,5.9,3.2,-1.8,0
262,156,堡林,2011-02-09,1.5,-1.9,5.8,0,-5.8,33,59.3,4,1009.6,1021.8,1013.3,1018.9,10.7,7.8,13.55,0,0,3.1,1.5,3.3,-4,0
263,156,堡林,2011-02-09,1.5,-1.9,5.8,0,-5.8,33,59.3,4,1009.6,1021.8,1013.3,1018.9,10.7,7.8,13.55,0,0,3.1,1.5,3.3,-4,0
264,156,堡林,2011-02-10,-0.5,-2.8,1.7,0,-9.1,36,52.4,3.1,1011.6,1022.3,1019.4,1021.1,10.7,0,4.59,0,0,6.3,1.8,1.1,-6,0
265,156,堡林,2011-02-10,-0.5,-2.8,1.7,0,-9.1,36,52.4,3.1,1011.6,1022.3,1019.4,1021.1,10.7,0,4.59,0,0,6.3,1.8,1.1,-6,0
266,156,堡林,2011-02-11,-1.1,-4.9,4,0,-9.3,30,55.6,3.1,1011.5,1022.5,1018.5,1021,10.8,9.8,16.12,0,0,0.9,0.9,2.5,-8,1
267,156,堡林,2011-02-11,-1.1,-4.9,4,0,-9.3,30,55.6,3.1,1011.5,1022.5,1018.5,1021,10.8,9.8,16.12,0,0,0.9,0.9,2.5,-8,1
268,156,堡林,2011-02-12,-3.7,-6.2,-0.4,0.8,-9.5,41,64.8,3,1015.3,1027.9,1020.7,1024.9,10.8,6.8,13.52,2,2,3.6,3.6,1.8,-8.9,0
269,156,堡林,2011-02-12,-3.7,-6.2,-0.4,0.8,-9.5,41,64.8,3,1015.3,1027.9,1020.7,1024.9,10.8,6.8,13.52,2,2,3.6,3.6,1.8,-8.9,0
270,156,堡林,2011-02-13,-2.8,-7.5,3.4,0,-11.6,23,53.9,2.5,1016.2,1027.9,1023.5,1025.8,10.8,6.5,13.45,0,0,4.6,0,1,-9.7,0
271,156,堡林,2011-02-13,-2.8,-7.5,3.4,0,-11.6,23,53.9,2.5,1016.2,1027.9,1023.5,1025.8,10.8,6.5,13.45,0,0,4.6,0,1,-9.7,0
272,156,堡林,2011-02-14,-2,-5.3,2,0,-9.9,40,55.4,2.9,1015.8,1028.7,1023.1,1025.3,10.9,6.7,12.42,0,0,4.3,0.8,1.2,-8.1,0
273,156,堡林,2011-02-14,-2,-5.3,2,0,-9.9,40,55.4,2.9,1015.8,1028.7,1023.1,1025.3,10.9,6.7,12.42,0,0,4.3,0.8,1.2,-8.1,0
274,156,堡林,2011-02-15,-0.3,-6.2,7.5,0,-7.5,34,60.3,3.5,1020.9,1032.5,1028.6,1030.5,10.9,9.7,15.71,0,0,0,0,2.2,-8.7,1
275,156,堡林,2011-02-15,-0.3,-6.2,7.5,0,-7.5,34,60.3,3.5,1020.9,1032.5,1028.6,1030.5,10.9,9.7,15.71,0,0,0,0,2.2,-8.7,1
276,156,堡林,2011-02-16,1.9,-4.1,9,4.5,-2.9,40,72.9,5.1,1016.3,1030.6,1022.2,1025.7,11,2.9,9.64,0,0,7.4,3.6,3,-6.7,1
277,156,堡林,2011-02-16,1.9,-4.1,9,4.5,-2.9,40,72.9,5.1,1016.3,1030.6,1022.2,1025.7,11,2.9,9.64,0,0,7.4,3.6,3,-6.7,1
